family,genus,keyword,action,video_path
otariidae,zalophus,california sea lion,dance,FzK2sKqTa-0
otariidae,zalophus,california sea lion,dance,811bsQ4KEus
otariidae,zalophus,california sea lion,dance,8xckNVQKBNI
otariidae,zalophus,california sea lion,dance,q68cNLxvE44
otariidae,zalophus,california sea lion,dance,kNcA9hQ5aU0
otariidae,zalophus,california sea lion,dance,E3-hxxapo_M
otariidae,zalophus,california sea lion,play,xsZCQJe0sO0
otariidae,zalophus,california sea lion,play,40b4vpkdy4U
otariidae,zalophus,california sea lion,play,C9ueOy3JhCE
otariidae,zalophus,california sea lion,play,30oWMvGRMEI
otariidae,zalophus,california sea lion,play,SfiNYhVbxr8
otariidae,zalophus,california sea lion,play,X4E0tbvIqDk
otariidae,zalophus,california sea lion,play,0D20NbIWTlk
otariidae,zalophus,california sea lion,play,OpCMo9k9YIE
otariidae,zalophus,california sea lion,play,yzbqmvQOMpI
otariidae,zalophus,california sea lion,play,mq9Yfde3WFo
otariidae,zalophus,california sea lion,play,Ucig4fMzthA
otariidae,zalophus,california sea lion,play,FCCCZV01PLc
otariidae,zalophus,california sea lion,play,UVVBPiA6hAY
otariidae,zalophus,california sea lion,play,1umnex95Zq4
otariidae,zalophus,california sea lion,play,NvptvtHLoek
otariidae,zalophus,california sea lion,play,K-mIbN8vkNg
otariidae,zalophus,california sea lion,play,brtvsLPjaJs
otariidae,zalophus,california sea lion,play,bCNAZxmWyJM
otariidae,zalophus,california sea lion,play,mLbCzo3EJcE
otariidae,zalophus,california sea lion,play,KndnjGkpbGY
sciuridae,xerus,african ground squirrel,play,2uUGae56qWM
canidae,vulpes,arctic fox,cave,sus11jSs1Bg
canidae,vulpes,arctic fox,cave,VGSS2rJiPmg
canidae,vulpes,arctic fox,cave,74WSK0hhmqI
canidae,vulpes,arctic fox,cave,BInt4qVMLsk
canidae,vulpes,arctic fox,cave,iBbOgiYrZtU
canidae,vulpes,arctic fox,cave,HYHNkQaiEK4
canidae,vulpes,arctic fox,cave,HYHNkQaiEK4
canidae,vulpes,arctic fox,dance,9ZvYglqN4Zw
canidae,vulpes,arctic fox,dance,zRprvQPUjys
canidae,vulpes,arctic fox,dance,dOXIR76_uHc
